code;municipa;district;regday;specneed;bilingua;occupday;tot_day;s_p_c;spec_ed;lnch_pct;tchratio;percap;totsc4;totsc8;avgsalry;pctel
64;CLINTON;Clinton;4415;7125,61;7404;0;5026;2,6;18,7;32,1;18,5;15,328;707;694;33,9815;0,7042254
65;COHASSET;Cohasset;5548;10008,91;0;0;6174;6,9;17,1;3,8;15,7;31,166;724;718;37,553;0
67;CONCORD;Concord;5608;12543,66;0;0;6595;7,3;11,5;3;17;31,655;731;743;41,613;0,4464286
71;DANVERS;Danvers;5066;8922,92;0;0;5824;8,9;14,9;7,4;16,9;18,776;709;701;36,9835;0,3401361
72;DARTMOUTH;Dartmouth;4177;7368,06;0;0;4709;6,6;13,6;11,6;17,6;15,389;707;688;34,7905;0,6329114
73;DEDHAM;Dedham;5457;7780,95;0;0;6132;5,4;16,5;7,7;16,6;19,045;712;697;39,0825;1,25
77;DOUGLAS;Douglas;3979;6555,88;0;0;4552;8,5;13,9;7,9;16,1;14,66;710;696;34,16;0
79;DRACUT;Dracut;4312;7423,57;0;0;4738;7;16,7;12,3;17,6;16,508;704;682;35,237;1,186944
83;EAST BRIDGEWATER;East Bridgewater;3744;8568,47;0;0;4480;8,4;12,3;7,3;19,3;15,056;694;698;38,014;0
87;EAST LONGMEADOW;East Longmeadow;4122;7546,54;0;0;4801;9,4;26;6,2;17,9;17,037;729;707;37,6885;0
86;EASTHAMPTON;Easthampton;4105;7404,75;0;0;4803;9,2;17;25,3;15,8;15,193;695;680;32,86;1,351351
88;EASTON;Easton;3858;7472,03;0;0;4515;8,3;16,8;3,5;19,4;19,016;720;710;36,6865;0
92;ESSEX;Essex;4071;9990,17;0;0;4718;5,5;13,4;9,3;16,8;19,211;700;709;35,1465;0
93;EVERETT;Everett;4009;7594,46;7568;8321;4664;9,9;16,6;40,3;17,8;14,22;707;679;36,9725;1,129943
94;FAIRHAVEN;Fairhaven;4166;11254,68;0;0;4982;8,6;14,2;24,5;16,6;13,114;703;683;32,606;0
95;FALL RIVER;Fall River;4638;10179,46;6327;9096;5769;9,5;15,4;51,4;16,7;10,966;682;656;31,5805;3,680336
96;FALMOUTH;Falmouth;4682;6855,02;0;0;5133;12;12,5;18,3;18,5;17,131;710;692;38,0915;0,2463054
97;FITCHBURG;Fitchburg;4189;8295,18;5500;0;5147;12,9;15,7;50,1;19,2;12,14;677;662;33,9095;9,919028
99;FOXBOROUGH;Foxborough;4756;6969,04;0;0;5354;6,8;17,7;7,2;17,3;18,329;721;702;40,0395;0,4219409
100;FRAMINGHAM;Framingham;5937;8570,78;6101;702;6549;10;16,4;24,9;14,9;20,407;709;686;40,25;8,589952
101;FRANKLIN;Franklin;3693;7066,3;0;1054;4127;5,2;13,6;3,7;14;18,228;729;704;38,313;0
103;GARDNER;Gardner;3867;6279,48;0;0;4382;7,8;16,7;24,3;19,8;13,207;688;675;32,462;0
105;GEORGETOWN;Georgetown;4062;8559,98;0;0;4735;5;11,1;6,4;17;17,571;716;720;33,0815;0
107;GLOUCESTER;Gloucester;4557;8395,43;0;4905;5608;6,5;17,4;20,9;17,3;16,044;703;690;34,7305;0
110;GRAFTON;Grafton;4623;7439,72;0;0;5086;9,7;14,1;5,7;15,1;17,313;715;705;35,7755;0
111;GRANBY;Granby;3913;8234,8;0;0;4687;11,4;14,7;10;17,4;16,748;700;698;32,1855;0
112;GRANVILLE;Granville;3400;6819,93;0;0;4310;6,8;17,9;12,3;15,2;15,945;707;711;30,29;0
117;HADLEY;Hadley;4221;10178,09;0;0;4996;15,1;12;7,5;16,5;16,224;727;718;31,8435;0
122;HANOVER;Hanover;4204;8005,83;0;0;4671;6,1;14;2,9;16,7;17,789;715;712;42,6155;0
125;HARVARD;Harvard;5196;11860,82;0;0;6006;7,5;11;1,3;16,7;17,937;739;740;27,061;0
126;HARWICH;Harwich;5345;9096;0;0;6196;7,6;16,9;13,7;15,6;15,02;704;693;37,62;0
127;HATFIELD;Hatfield;4961;9329,29;0;0;5672;5,7;14,5;5,3;14,2;17,713;715;701;31,8505;0
131;HINGHAM;Hingham;5004;9307,56;0;0;5772;10,5;13,8;3,1;16,9;25,726;719;723;41,9875;0
133;HOLBROOK;Holbrook;4297;9907,11;0;0;5126;10,7;18;20,8;21,3;15,469;706;669;33,3745;0
137;HOLYOKE;Holyoke;6049;8155,18;5322;5457;6595;8;17,7;69,7;16,4;11,088;658;641;33,8075;24,49393
138;HOPEDALE;Hopedale;4442;8700,43;0;0;5229;7,6;17,8;4,4;17,9;16,677;713;699;37,2225;0
141;HUDSON;Hudson;5107;8056,19;8778;0;6006;8,4;21,2;11,2;17,4;18,327;708;690;39,162;0,8849558
142;HULL;Hull;4821;7657,53;0;4532;5205;6,4;17,4;28,8;16,3;16,907;707;689;34,4875;0
144;IPSWICH;Ipswich;4611;7163,89;0;0;5331;4,2;13,2;7,9;16,7;20,175;713;717;35,233;0
149;LAWRENCE;Lawrence;4617;10366,21;4276;8264;5520;4,1;10,7;73;21,4;9,686;666;646;35,6195;14,83458
150;LEE;Lee;4754;7458,7;0;8423;5430;7,8;19,7;21,3;13,3;15,289;715;694;33,4895;0
151;LEICESTER;Leicester;4138;7273,54;0;0;4567;9,1;15,8;15,7;18,4;15,806;708;691;33,409;0
152;LENOX;Lenox;6881;10203,66;0;0;7812;4,3;18,1;8,6;14,5;16,822;727;711;37,159;1,538462
155;LEXINGTON;Lexington;5770;10761,54;3478;0;6753;5,4;17,9;4,8;15,4;30,718;740;732;44,115;0,6493506
158;LITTLETON;Littleton;5152;10494,8;0;0;5812;8,6;11,3;5,2;16;19,56;730;707;37,297;0
159;LONGMEADOW;Longmeadow;4961;8982,89;0;0;5781;7,8;18;3;15,2;29,244;713;726;37,684;0,8888889
160;LOWELL;Lowell;4283;10008,01;6142;7095;5456;5,1;13,3;56,7;21,5;12,701;676;653;35,167;16,19772
161;LUDLOW;Ludlow;3928;7417,58;8560;0;4552;11,1;19,5;14,7;18;14,273;701;695;35,0295;0
162;LUNENBURG;Lunenburg;3747;8289,9;0;0;4265;7,6;11,4;3,8;19,1;19,166;703;710;38,9875;0
163;LYNN;Lynn;4079;8666,34;4984;7095;5289;10,2;16,3;45,9;20,5;13,026;672;657;34,1395;6,311993
164;LYNNFIELD;Lynnfield;5242;8963,66;0;0;5984;6,8;12,3;3,1;16,3;26,193;737;715;39,326;0
166;MANCHESTER;Manchester;6337;9699,74;0;0;7075;5,8;11,1;5,5;14,5;29,417;722;720;39,0965;0
167;MANSFIELD;Mansfield;3862;7731,68;0;0;4562;12,6;16,8;7,8;17,5;18,204;714;696;35,942;0,591716
168;MARBLEHEAD;Marblehead;5273;9728,83;0;0;5987;6,8;15,6;6,8;16;30,615;717;711;33,794;0,4237288
170;MARLBOROUGH;Marlborough;5014;7397,61;3778;0;5638;11,4;21,6;15,3;17,9;18,471;705;681;38,039;3,403141
171;MARSHFIELD;Marshfield;4100;8701,37;0;3239;4699;11,7;13;7,5;16,8;19,373;726;702;28,8595;0,2816902
172;MASHPEE;Mashpee;3679;7065,79;0;0;4505;3,5;15,4;27;18,2;14,526;696;689;37,869;0
175;MEDFIELD;Medfield;4643;7596,02;0;0;5110;9,8;11,9;1,7;16,6;26,103;738;727;39,081;0
176;MEDFORD;Medford;4716;11320,28;11899;11603;6305;9,9;16,7;19,7;16,3;16,941;693;688;39,88;2,28833
177;MEDWAY;Medway;4472;5655,29;0;0;4867;5,3;17,8;4,7;17,4;18,982;713;732;37,247;0
178;MELROSE;Melrose;4606;7745,91;0;0;5421;10,4;16,6;7,5;17,3;20,202;714;695;36,3035;0,3278688
181;METHUEN;Methuen;3913;9018,14;4143;5664;4592;6,7;13,9;17,6;21,5;15,598;708;690;33,5995;1,578947
182;MIDDLEBOROUGH;Middleborough;4150;7494,95;0;4846;4711;4,3;15,7;15,9;21,6;14,165;697;697;32,9885;0
185;MILFORD;Milford;4512;7847,31;8534;0;5323;8,4;18;17,5;13,1;15,98;703;696;38,545;1,253919
191;MONSON;Monson;4034;6787,31;0;0;4661;3,7;20,3;14,8;18,3;14,454;724;681;31,3565;0
198;NATICK;Natick;5558;10528,36;0;0;6664;7,1;15,3;8,5;17;22,176;721;712;39,113;0
199;NEEDHAM;Needham;5372;9866,92;0;0;6267;7,9;14,9;4,5;17;27,935;729;722;41,2265;0,2994012
201;NEW BEDFORD;New Bedford;4240;9415,61;8879;0;5564;10,2;15,1;58,2;20,9;10,923;680;661;34,5;3,070539
204;NEWBURYPORT;Newburyport;5254;9896,89;0;0;5932;12;12,2;5,9;15,3;19,008;719;707;37,4455;0,4291846
207;NEWTON;Newton;5613;11262,72;25852;5485;6790;5,6;15,2;5,7;17;28,84;737;732;43,0385;1,092896
209;NORTH ADAMS;North Adams;4539;8213,93;0;0;5386;10;18,9;37,7;13,4;10,963;685;668;24,965;0
211;NORTH ANDOVER;North Andover;4247;9357,83;0;0;4943;4;13,3;5,3;19,9;22,957;711;708;35,884;0,536193
212;NORTH ATTLEBOROUGH;North Attleborough;3287;7597,87;0;0;3906;10,5;14,9;9,6;18,9;17,535;716;700;33,0175;0,2518892
215;NORTH BROOKFIELD;North Brookfield;4440;6281,02;0;0;4681;5,1;10,8;21,8;14,5;13,71;715;685;33,113;0
217;NORTH READING;North Reading;4344;9243,08;0;0;4993;9,3;12,9;3,8;18,1;19,1;736;732;36,2345;0,9302326
210;NORTHAMPTON;Northampton;4764;8964,67;9153;0;5698;6,4;18,3;23,2;15;14,623;701;703;34,63;1,724138
213;NORTHBOROUGH;Northborough;3969;6249,01;0;0;4478;10,2;14,7;3;19,8;22,795;729;723;37,7235;0,456621
214;NORTHBRIDGE;Northbridge;3839;6122,12;0;0;4450;8,6;16,5;21,2;19,1;14,159;711;682;33,1525;0
218;NORTON;Norton;3703;8041,79;0;0;4328;8,1;17;9,7;19,7;16,023;701;699;33,9295;0
219;NORWELL;Norwell;5764;8912,72;0;0;6286;8,7;12,5;1,3;16,8;24,028;727;723;43,5105;0
220;NORWOOD;Norwood;5387;8499,07;0;0;6060;9;16,9;12,1;17,2;18,193;720;712;35,922;0,660066
244;RANDOLPH;Randolph;3850;8256,22;13376;0;4873;11,4;15,5;23,8;19,5;17,163;694;683;34,827;4,022988
246;READING;Reading;4413;6574,78;27508;0;5048;6,9;13,1;3,3;17;21,074;720;727;39,0365;0
248;REVERE;Revere;4205;7056,31;6541;15088;4990;5,9;12,3;44,6;19,8;14,723;688;669;38,3225;1,747573
251;ROCKLAND;Rockland;4500;8623,05;0;0;4997;8,4;12,2;19,8;21;15,06;705;685;35,428;0
252;ROCKPORT;Rockport;4221;7021,33;0;0;5073;8,9;22,1;11,4;16,4;19,882;713;714;33,332;1,162791
258;SALEM;Salem;5304;9061,82;4417;5754;5892;4,8;19,7;38,6;18,1;16,155;689;666;33,954;12,2449
261;SANDWICH;Sandwich;4267;10034,78;0;0;5096;11,9;11,8;4,4;19,1;17,412;715;721;36,2685;0
262;SAUGUS;Saugus;5048;10458,81;0;0;5703;5,4;11,6;11,5;15,7;17,781;707;695;33,4845;0
264;SCITUATE;Scituate;4564;7156,66;13303;0;5130;10;13,2;5,7;17,8;22,156;723;714;38,525;1,532567
265;SEEKONK;Seekonk;4234;8530,59;0;0;5108;7,5;12,7;7,4;18,1;17,345;698;696;34,4825;0
270;SHIRLEY;Shirley;3647;6734,87;0;0;4772;13,6;25;16,5;16,5;15,581;700;699;33,422;0
271;SHREWSBURY;Shrewsbury;4562;6946,22;0;717;5017;5,4;15,5;6,3;13,9;20,508;728;711;37,9;0,5649717
274;SOMERVILLE;Somerville;4932;9531,74;5952;6711;6281;11,3;19,7;70,3;19,3;15,179;690;673;33,684;5,741627
278;SOUTH HADLEY;South Hadley;3935;9366,55;0;0;4906;9,6;22,4;12,5;16,4;16,342;691;694;35,6155;0
276;SOUTHBOROUGH;Southborough;4810;7615,04;0;0;5343;10,1;15,5;0,5;16,6;25,841;723;728;38,0995;0,7246377
277;SOUTHBRIDGE;Southbridge;4389;7490,53;3991;0;4899;4,7;22,8;40,8;15,1;12,924;693;675;33,307;1,382488
281;SPRINGFIELD;Springfield;4859;10499,22;5415;3807;5879;9,7;17,6;76,2;16,9;11,584;677;649;36,197;6,873033
284;STONEHAM;Stoneham;4609;8909,29;0;0;5467;9,3;13,3;9,9;20;18,22;707;715;35,9235;0,8368201
285;STOUGHTON;Stoughton;4598;7352,45;5408;5490;5148;8;17,1;13;16,9;17,313;715;687;32,36;0,2801121
288;SUDBURY;Sudbury;4623;11016,04;0;0;5733;8,4;13,3;3,7;19,1;33,441;729;730;41,0735;0
290;SUTTON;Sutton;3704;7413,52;0;0;4290;6,4;16;6,5;19,5;16,937;719;689;35,579;0
291;SWAMPSCOTT;Swampscott;4899;8392,94;0;0;5531;11,5;15,2;4,5;15,7;25,576;714;715;38,205;0
292;SWANSEA;Swansea;4579;6725,81;0;0;5154;7,4;15;13,8;16,7;15,1;692;699;32,3245;0
293;TAUNTON;Taunton;4494;7717,3;6497;8100;5326;6,2;19,9;29,8;20,8;13,613;693;666;39,376;1,716069
301;TYNGSBOROUGH;Tyngsborough;3903;5399,38;0;0;4499;6;15,2;6,3;20;16,633;715;711;35,5495;0
304;UXBRIDGE;Uxbridge;3802;6659,04;0;0;4402;8,5;14,5;11,2;19,9;16,531;709;692;37,6345;0
305;WAKEFIELD;Wakefield;5006;9156,78;0;5068;5860;7,2;15,9;7,5;16,9;19,009;714;697;36,606;0
307;WALPOLE;Walpole;4255;8736,79;0;0;4875;7,1;15;3,5;18,1;20,128;723;708;36,6005;0
309;WARE;Ware;4465;7382,5;0;0;5223;13,8;19,1;37,7;17;13,082;680;678;34,619;0
310;WAREHAM;Wareham;4100;7800,52;0;1178;4772;6;13,8;34,2;17,9;13,428;694;671;37,2215;0
314;WATERTOWN;Watertown;5896;9911,33;33968;0;7078;6,3;25,5;18,4;15,9;20,382;696;694;39,1045;2,673797
316;WEBSTER;Webster;4529;8024,85;0;2246;5401;9,8;24,1;29,8;15,1;14,624;690;674;33,933;1,257862
317;WELLESLEY;Wellesley;5978;10426,82;0;0;7176;6,6;16,4;4,1;15,3;32,253;734;747;42,371;0
322;WEST BOYLSTON;West Boylston;4287;7032,9;0;0;4734;6,3;13,8;5,1;15,1;17,416;724;716;36,1535;0
332;WEST SPRINGFIELD;West Springfield;4922;3832,23;1779;0;4567;8,3;17,5;27,1;21,9;15,905;691;679;34,4545;2,816901
321;WESTBOROUGH;Westborough;5396;8524,39;0;0;5886;7,2;13,7;3,4;16,4;20,922;720;722;39,9825;1,090909
325;WESTFIELD;Westfield;3823;6558,1;7124;6110;4977;6,3;20,5;22,6;19,5;14,225;694;679;33,54;1,701323
326;WESTFORD;Westford;4134;7087,63;0;0;4604;7,6;10,4;2,2;19,1;21,878;734;726;38,128;0,3048781
330;WESTON;Weston;7944;10901,29;0;0;8623;4,6;15,2;3,1;15,6;46,855;723;743;42,42;0
331;WESTPORT;Westport;4242;7817,67;0;0;4937;7;11,7;17,3;19,2;15,525;702;688;34,224;0
335;WESTWOOD;Westwood;6415;10497,24;0;0;7521;8,7;19,9;2;13,3;26,241;722;718;44,494;0,4950495
336;WEYMOUTH;Weymouth;4439;8238,36;0;8092;5250;8,3;18,2;14,2;18,2;18,392;707;685;36,94;0,1980198
342;WILMINGTON;Wilmington;4686;8003,48;0;0;5412;11,9;14,2;3,1;17,6;17,275;715;696;38,948;0
343;WINCHENDON;Winchendon;3023;6597,85;0;0;3868;9,1;22,3;27,1;15,5;13,143;696;671;31,556;0
348;WORCESTER;Worcester;4545;9719,62;6541;2951;5727;8,3;17,8;45,7;16,6;13,393;693;664;35,6155;3,080082
